imagen,timestamp_imagen,timestamp_sens,temperatura,pH,conductividad,TDS,salinidad,presion,oxigeno_mgL,etiqueta
2021-11-17_12-46-57_0s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_10s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_15s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_20s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_25s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_30s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_35s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_40s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_45s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_50s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_55s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-46-57_5s.jpg,2021-11-17 12:46:57,2021-11-17 12:46:55,16.87,5.66,650,0.325,0.32,10.8129999999999,4.46,
2021-11-17_12-47-57_0s.jpg,2021-11-17 12:47:57,2021-11-17 12:47:55,16.87,5.66,649,0.325,0.32,10.811,4.57,
